12TH AV 	200 - 299 	L ST - K ST 	Not Posted, NS Thu & SS Fri
JEWELL ST 	3900 - 3999 	ROOSEVELT AV - FORTUNA AV 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
JEWELL ST 	4000 - 4099 	FORTUNA AV - PACIFIC BEACH DR 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
JEWELL ST 	4100 - 4199 	PACIFIC BEACH DR - OLIVER AV 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
JEWELL ST 	4200 - 4249 	OLIVER AV - REED AV 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
JEWELL ST 	4250 - 4299 	REED AV - THOMAS AV 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
JEWELL ST 	4300 - 4399 	THOMAS AV - GRAND AV 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
JEWELL ST 	4400 - 4449 	GRAND AV - HORNBLEND ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
JEWELL ST 	4450 - 4499 	HORNBLEND ST - GARNET AV 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
JEWELL ST 	4500 - 4649 	GARNET AV - EMERALD ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
JEWELL ST 	4650 - 4699 	EMERALD ST - DIAMOND ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
JEWELL ST 	4700 - 4739 	DIAMOND ST - MISSOURI ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
JEWELL ST 	4740 - 4799 	MISSOURI ST - CHALCEDONY ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
JEWELL ST 	4800 - 4849 	CHALCEDONY ST - LAW ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
JEWELL ST 	4850 - 4899 	LAW ST - BERYL ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
JEWELL ST 	4900 - 4949 	BERYL ST - MONMOUTH DR 	Not Posted, Both Sides Odd Month 3rd Wed
JEWELL ST 	4950 - 4999 	COLLINGWOOD DR - MALDEN ST 	Not Posted, Both Sides Odd Month 3rd Wed
JEWELL ST 	5000 - 5099 	MALDEN ST - LOS ALTOS RD 	Not Posted, Both Sides Odd Month 3rd Wed
JICARILLO AV 	4500 - 4549 	KEOKUK CT - HOPI PL 	Not Posted, Both Sides Odd Month 3rd Tue
JICARILLO AV 	4550 - 4579 	HOPI PL - LA JUNTA AV 	Not Posted, Both Sides Odd Month 3rd Tue
JICARILLO AV 	4580 - 4599 	LA JUNTA AV - KAROK AV 	Not Posted, Both Sides Odd Month 3rd Tue
JOHN ST 	3400 - 3429 	BANGOR ST - END 	Not Posted, Both Sides Even Month 4th Wed
JOHN ST 	3540 - 3599 	BEGIN - ALBION ST 	Not Posted, Both Sides Even Month 4th Wed
JOHN ST 	3800 - 3839 	TEMPLE ST - TARENTO DR 	Not Posted, Both Sides Even Month 1st Wed
JOHN ST 	3840 - 3899 	TARENTO DR - ORMA DR 	Not Posted, Both Sides Even Month 1st Wed
JOHN ST 	3900 - 3999 	ORMA DR - MOANA DR 	Not Posted, Both Sides Even Month 1st Wed
JOHN ST 	4000 - 4049 	MOANA DR - EL MAC PL 	Not Posted, Both Sides Even Month 1st Wed
JOHN ST 	4050 - 4099 	EL MAC PL - END 	Not Posted, Both Sides Even Month 1st Wed
JONQUIL DR 	2600 - 2699 	ELLIOTT ST - LOTUS DR 	Not Posted, Both Sides Odd Month 1st Wed
JOPLIN AV 	3600 - 3619 	POCAHONTAS AV - COCHISE WY 	Not Posted, Both Sides Even Month 4th Thu
JOPLIN AV 	3620 - 3699 	COCHISE WY - GILA AV 	Not Posted, Both Sides Even Month 4th Thu
JOPLIN AV 	3700 - 3799 	GILA AV - CLAIREMONT DR 	Not Posted, Both Sides Even Month 4th Thu
JULY ST 	5000 - 5049 	GRANDVIEW ST - BURGENER BL 	Not Posted, Both Sides Even Month 4th Thu
JULY ST 	5050 - 5099 	BURGENER BL - DEERPARK DR 	Not Posted, Both Sides Even Month 4th Thu
JULY ST 	5100 - 5149 	DEERPARK DR - COWLEY WY 	Not Posted, Both Sides Even Month 4th Thu
JUMANO AV 	4700 - 4799 	HURON AV - KAIBAB CT 	Not Posted, Both Sides Even Month 4th Thu
JUMANO AV 	4800 - 4899 	KAIBAB CT - HURON AV 	Not Posted, Both Sides Even Month 4th Thu
JUMANO AV 	4900 - 4969 	HURON AV - IROQUOIS AV 	Not Posted, Both Sides Even Month 4th Thu
JUPITER ST 	3930 - 4049 	CHANNEL WY - END 	Not Posted, Both Sides Fri
JUTLAND CT 	3000 - 3099 	JUTLAND DR - END 	Not Posted, Both Sides Odd Month 3rd Tue
JUTLAND DR 	4100 - 4389 	MORENA BL - CAM CORALINO 	Not Posted, Both Sides Wed
JUTLAND DR 	4390 - 4399 	CAM CORALINO - ATWELL ST 	Not Posted, Both Sides Odd Month 3rd Tue
JUTLAND DR 	4400 - 4449 	ATWELL ST - ARCOLA AV 	Not Posted, Both Sides Odd Month 3rd Tue
JUTLAND DR 	4450 - 4479 	ARCOLA AV - JUTLAND PL 	Not Posted, Both Sides Odd Month 3rd Tue
JUTLAND DR 	4480 - 4499 	JUTLAND PL - JUTLAND CT 	Not Posted, Both Sides Odd Month 3rd Tue
JUTLAND DR 	4500 - 4549 	JUTLAND CT - ABER ST 	Not Posted, Both Sides Odd Month 3rd Tue
JUTLAND DR 	4550 - 4599 	ABER ST - GUILITOY AV 	Not Posted, Both Sides Odd Month 3rd Tue
JUTLAND DR 	4600 - 4659 	GUILITOY AV - HAIDAS AV 	Not Posted, Both Sides Odd Month 3rd Tue
JUTLAND DR 	4660 - 4679 	HAIDAS AV - IDLEWILD WY 	Not Posted, Both Sides Odd Month 3rd Tue
JUTLAND DR 	4680 - 4699 	IDLEWILD WY - JEMEZ DR 	Not Posted, Both Sides Odd Month 3rd Tue
JUTLAND DR 	4700 - 4749 	JEMEZ DR - LUNA AV 	Not Posted, Both Sides Odd Month 3rd Tue
JUTLAND DR 	4750 - 4799 	LUNA AV - MANDAN WY 	Not Posted, Both Sides Even Month 3rd Tue
JUTLAND DR 	4800 - 4899 	MANDAN WY - MASSASOIT AV 	Not Posted, Both Sides Even Month 3rd Tue
JUTLAND PL 	4500 - 4599 	JUTLAND DR - END 	Not Posted, Both Sides Odd Month 3rd Tue
KAIBAB CT 	3000 - 3099 	JUMANO AV - IROQUOIS AV 	Not Posted, Both Sides Even Month 4th Thu
KAIMALINO LN 	1300 - 1359 	BEGIN - CARDENO DR 	Not Posted, Both Sides Odd Month 3rd Wed
KAMLOOP AV 	4300 - 4319 	QUAPAW AV - TAOS DR 	Not Posted, Both Sides Odd Month 3rd Tue
KAMLOOP AV 	4320 - 4339 	TAOS DR - MORAGA AV 	Not Posted, Both Sides Odd Month 3rd Tue
KAMLOOP AV 	4340 - 4399 	MORAGA AV - GEDDES DR 	Not Posted, Both Sides Odd Month 3rd Tue
KAMLOOP AV 	4400 - 4419 	GEDDES DR - HUERFANO AV 	Not Posted, Both Sides Odd Month 3rd Tue
KAMLOOP AV 	4420 - 4449 	HUERFANO AV - INNUIT AV 	Not Posted, Both Sides Odd Month 3rd Tue
KAMLOOP AV 	4450 - 4499 	INNUIT AV - JAPPA AV 	Not Posted, Both Sides Odd Month 3rd Tue
KAMLOOP AV 	4500 - 4549 	JAPPA AV - HOPI PL 	Not Posted, Both Sides Odd Month 3rd Tue
KANE ST 	4100 - 4199 	MORENA BL - CHICAGO ST 	Not Posted, Both Sides Odd Month 3rd Tue
KANE ST 	4200 - 4299 	CHICAGO ST - DENVER ST 	Not Posted, Both Sides Odd Month 3rd Tue
KANE ST 	4400 - 4499 	ERIE ST - FRANKFORT ST 	Not Posted, Both Sides Odd Month 3rd Tue
KANE ST 	4500 - 4599 	FRANKFORT ST - GALVESTON ST 	Not Posted, Both Sides Odd Month 3rd Tue
KANE ST 	4750 - 4799 	BEGIN - ILLION ST 	Not Posted, Both Sides Odd Month 3rd Tue
KANE ST 	4800 - 4999 	GARFIELD RD - ARNOTT ST 	Not Posted, Both Sides Odd Month 3rd Tue
KARNES WY 	3000 - 3099 	PETERS WY - HUERFANO AV 	Not Posted, Both Sides Odd Month 3rd Tue
KAROK AV 	3200 - 3299 	BEGIN - JICARILLO AV 	Not Posted, Both Sides Odd Month 3rd Tue
KAROK AV 	3300 - 3399 	JICARILLO AV - IDLEWILD WY 	Not Posted, Both Sides Odd Month 3rd Tue
KATE SESSIONS WY 	5000 - 5011 	BEGIN - LOS ALTOS RD 	Not Posted, Both Sides Odd Month 3rd Wed
KATE SESSIONS WY 	5012 - 5023 	LOS ALTOS RD - END 	Not Posted, Both Sides Odd Month 3rd Wed
KEATS ST 	2800 - 2899 	SHAFTER ST - SCOTT ST 	Not Posted, Both Sides Thu
KEATS ST 	2900 - 2999 	SCOTT ST - ROSECRANS ST 	Not Posted, Both Sides Even Month 4th Wed
KEATS ST 	3000 - 3099 	ROSECRANS ST - LOCUST ST 	Not Posted, Both Sides Even Month 4th Wed
KEATS ST 	3100 - 3199 	LOCUST ST - EVERGREEN ST 	Not Posted, Both Sides Even Month 4th Wed
KEATS ST 	3200 - 3299 	EVERGREEN ST - WILLOW ST 	Not Posted, Both Sides Even Month 4th Wed
KEATS ST 	3400 - 3499 	PLUM ST - END 	Not Posted, Both Sides Even Month 4th Wed
KELLOGG ST 	2800 - 2899 	BEGIN - SAN ANTONIO AV 	Not Posted, Both Sides Even Month 4th Wed
KELLOGG ST 	2900 - 2999 	SAN ANTONIO AV - ROSECRANS ST 	Not Posted, Both Sides Even Month 4th Wed
KELLOGG ST 	3000 - 3099 	ROSECRANS ST - SAN ELIJO ST 	Not Posted, Both Sides Even Month 4th Wed
KELLOGG ST 	3100 - 3199 	SAN ELIJO ST - SAN FERNANDO ST 	Not Posted, Both Sides Even Month 4th Wed
KELLOGG ST 	3200 - 3299 	SAN FERNANDO ST - KELLOGG DR 	Not Posted, Both Sides Even Month 4th Wed
KEMPER CT 	3600 - 3699 	KEMPER ST - END 	Not Posted, Both Sides Odd Month 1st Wed
KEMPER ST 	3100 - 3159 	LARGA CR - KEMPER CT 	Not Posted, Both Sides Odd Month 1st Wed
KEMPER ST 	3160 - 3199 	KEMPER CT - KENYON ST 	Not Posted, Both Sides Odd Month 1st Wed
KEMPER ST 	3200 - 3299 	KENYON ST - MIDWAY DR 	Not Posted, Both Sides Mon
KEMPER ST 	3300 - 3499 	MIDWAY DR - SPORTS ARENA BL 	Not Posted, Both Sides Mon
KENDALL ST 	0 - 0 	CROWN POINT DR - LA PLAYA AV 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
KENDALL ST 	3800 - 3899 	LA PLAYA AV - ROOSEVELT AV 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
KENDALL ST 	3900 - 3999 	ROOSEVELT AV - FORTUNA AV 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
KENDALL ST 	4000 - 4039 	FORTUNA AV - CHICO ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
KENDALL ST 	4040 - 4099 	CHICO ST - PACIFIC BEACH DR 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
KENDALL ST 	4100 - 4199 	PACIFIC BEACH DR - OLIVER AV 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
KENDALL ST 	4200 - 4249 	OLIVER AV - REED AV 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
KENDALL ST 	4250 - 4299 	REED AV - THOMAS AV 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
KENDALL ST 	4300 - 4399 	THOMAS AV - GRAND AV 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
KENDALL ST 	4400 - 4449 	GRAND AV - HORNBLEND ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
KENDALL ST 	4450 - 4499 	HORNBLEND ST - GARNET AV 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
KENDALL ST 	4800 - 4849 	CHALCEDONY ST - LAW ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
KENDALL ST 	4850 - 4899 	LAW ST - BERYL ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
KENDALL ST 	4900 - 4949 	BERYL ST - COLLINGWOOD DR 	Not Posted, Both Sides Odd Month 3rd Wed
KENDALL ST 	4950 - 4999 	COLLINGWOOD DR - MALDEN ST 	Not Posted, Both Sides Odd Month 3rd Wed
KENOSHA AV 	3900 - 3999 	BEGIN - ELSINORE PL 	Not Posted, Both Sides Even Month 4th Thu
KENOSHA AV 	4000 - 4099 	ELSINORE PL - MORAGA AV 	Not Posted, Both Sides Even Month 4th Thu
KENYON CT 	3100 - 3199 	BEGIN - KENYON ST 	Not Posted, Both Sides Mon
KENYON ST 	3400 - 3499 	WING ST - FORDHAM ST 	Not Posted, Both Sides Mon
KENYON ST 	3500 - 3549 	FORDHAM ST - KENYON CT 	Not Posted, Both Sides Mon
KENYON ST 	3550 - 3599 	KENYON CT - KEMPER ST 	Not Posted, Both Sides Mon
KEOKUK CT 	3200 - 3259 	BEGIN - MELISA WY 	Not Posted, Both Sides Odd Month 3rd Tue
KEOKUK CT 	3260 - 3299 	MELISA WY - JICARILLO AV 	Not Posted, Both Sides Odd Month 3rd Tue
KETTNER BL 	2500 - 2599 	W LAUREL ST - W MAPLE ST 	Not Posted, Both Sides Fri
KETTNER BL 	2600 - 2699 	W MAPLE ST - W NUTMEG ST 	Not Posted, Both Sides Fri
KETTNER BL 	2700 - 2799 	W NUTMEG ST - I-5 SB ON RA 	Not Posted, Both Sides Fri
KETTNER BL 	2800 - 2899 	I-5 SB ON RA - W PALM ST 	Not Posted, Both Sides Fri
KETTNER BL 	2900 - 3089 	W PALM ST - I-5 SB ON RA 	Not Posted, Both Sides Fri
KETTNER BL 	3090 - 3299 	I-5 SB ON RA - SASSAFRAS ST 	Not Posted, Both Sides Fri
KETTNER BL 	3300 - 3549 	SASSAFRAS ST - VINE ST 	Not Posted, Both Sides Fri
KETTNER BL 	3550 - 3599 	VINE ST - I-5 SB OFF RA 	Not Posted, Both Sides Fri
KETTNER BL 	3600 - 3649 	I-5 SB OFF RA - CHALMERS ST 	Not Posted, Both Sides Fri
KETTNER BL 	3650 - 3699 	CHALMERS ST - CALIFORNIA ST 	Not Posted, Both Sides Fri
KICKAPOO CT 	4500 - 4549 	HATTERAS AV - OAK GLEN LN 	Not Posted, Both Sides Even Month 4th Thu
KINGSLEY ST 	3000 - 3099 	ROSECRANS ST - LOCUST ST 	Not Posted, Both Sides Odd Month 1st Wed
KINGSLEY ST 	3100 - 3199 	LOCUST ST - EVERGREEN ST 	Not Posted, Both Sides Odd Month 1st Wed
KINGSLEY ST 	3200 - 3299 	EVERGREEN ST - CHATSWORTH BL 	Not Posted, Both Sides Odd Month 1st Wed
KINGSLEY ST 	3600 - 3700 	BEGIN - JAMES ST 	Not Posted, Both Sides Odd Month 1st Wed
KINGSLEY ST 	3701 - 3799 	JAMES ST - POINSETTIA DR 	Not Posted, Both Sides Odd Month 1st Wed
KNAPP ST 	4600 - 4619 	CLAIREMONT DR - WACO ST 	Not Posted, Both Sides Even Month 4th Thu
KNOX ST 	4900 - 4999 	BEGIN - EVERVIEW RD 	Not Posted, Both Sides Odd Month 1st Tue
KNOXVILLE ST 	1170 - 1249 	BEGIN - SAVANNAH ST 	Not Posted, Both Sides Wed
KNOXVILLE ST 	1250 - 1299 	SAVANNAH ST - MORENA BL 	Not Posted, Both Sides Wed
KNOXVILLE ST 	1300 - 1399 	MORENA BL - TONOPAH AV 	Not Posted, Both Sides Odd Month 1st Tue
KNOXVILLE ST 	1400 - 1499 	TONOPAH AV - NASHVILLE ST 	Not Posted, Both Sides Odd Month 1st Tue
KNOXVILLE ST 	1500 - 1699 	NASHVILLE ST - LITTLEFIELD ST 	Not Posted, Both Sides Odd Month 1st Tue
KNOXVILLE ST 	1700 - 1799 	LITTLEFIELD ST - GARDENA AV 	Not Posted, Both Sides Odd Month 1st Tue
KONA WY 	3000 - 3035 	ROSECRANS ST - END 	Not Posted, Both Sides Even Month 4th Wed
KURTZ RD RA 	0 - 0 	PACIFIC HY NB ON RA - KURTZ ST 	Not Posted, Both Sides Mon
KURTZ ST 	1900 - 1999 	NOELL ST - ESTUDILLO ST 	Not Posted, Both Sides Mon
KURTZ ST 	2000 - 2049 	ESTUDILLO ST - WRIGHT ST 	Not Posted, Both Sides Mon
KURTZ ST 	2050 - 2099 	WRIGHT ST - BANDINI ST 	Not Posted, Both Sides Mon
KURTZ ST 	2100 - 2149 	BANDINI ST - COUTS ST 	Not Posted, Both Sides Mon
KURTZ ST 	2150 - 2175 	COUTS ST - KURTZ RD RA 	Not Posted, Both Sides Mon
KURTZ ST 	2176 - 2199 	KURTZ RD RA - END 	Not Posted, Both Sides Mon
KURTZ ST 	3000 - 3099 	ROSECRANS ST - CAM DEL RIO WEST 	Not Posted, Both Sides Fri
KURTZ ST 	3100 - 3199 	CAM DEL RIO WEST - RILEY ST 	Not Posted, Both Sides Fri
KURTZ ST 	3200 - 3299 	RILEY ST - GREENWOOD ST 	Not Posted, Both Sides Fri
KURTZ ST 	3300 - 3399 	GREENWOOD ST - SHERMAN ST 	Not Posted, Both Sides Fri
KURTZ ST 	3400 - 3499 	SHERMAN ST - HOUSTON ST 	Not Posted, Both Sides Fri
KURTZ ST 	3500 - 3699 	HOUSTON ST - HANCOCK ST 	Not Posted, Both Sides Fri
LA CIMA DR 	1500 - 1529 	RIVIERA DR - BUENA VISTA ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
LA CIMA DR 	1530 - 1569 	BUENA VISTA ST - BAYONNE DR 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
LA CIMA DR 	1570 - 1597 	BAYONNE DR - PROMONTORY ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
LA CIMA DR 	1598 - 1599 	PROMONTORY ST - INGRAHAM ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
LA CIMA DR 	1600 - 1649 	INGRAHAM ST - YOSEMITE ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
LA CIMA DR 	1650 - 1699 	YOSEMITE ST - JEWELL ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
LA CIMA DR 	1700 - 1799 	JEWELL ST - CROWN POINT DR 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
LA CRESCENTIA DR 	300 - 419 	SAN GORGONIO ST - TAVARA PL 	Not Posted, Both Sides Even Month 4th Wed
LA CRESCENTIA DR 	420 - 429 	TAVARA PL - SAN REMO WY 	Not Posted, Both Sides Even Month 4th Wed
LA CRESCENTIA DR 	430 - 479 	SAN REMO WY - END 	Not Posted, Both Sides Even Month 4th Wed
LA CRESTA DR 	3700 - 3759 	CHATSWORTH BL - WAWONA DR 	Not Posted, Both Sides Even Month 4th Wed
LA CRESTA DR 	3760 - 3799 	WAWONA DR - POE ST 	Not Posted, Both Sides Even Month 4th Wed
LA CRESTA DR 	3800 - 3839 	POE ST - CENTRALOMA DR 	Not Posted, Both Sides Even Month 4th Wed
LA CRESTA DR 	3840 - 3879 	CENTRALOMA DR - BERNICE DR 	Not Posted, Both Sides Even Month 4th Wed
LA CRESTA DR 	3880 - 3899 	BERNICE DR - BERNICE DR 	Not Posted, Both Sides Even Month 4th Wed
LA CRESTA DR 	3900 - 3929 	BERNICE DR - SEFTON PL 	Not Posted, Both Sides Even Month 4th Wed
LA CRESTA DR 	3930 - 3999 	SEFTON PL - NARRAGANSETT AV 	Not Posted, Both Sides Even Month 4th Wed
LA CROSSE AV 	4400 - 4549 	GEDDES DR - HOPI PL 	Not Posted, Both Sides Odd Month 3rd Tue
LA FRANCE ST 	2400 - 2499 	BEGIN - RANDALL ST 	Not Posted, Both Sides Odd Month 3rd Wed
LA JOLLA BL 	4980 - 5049 	LORING ST - OPAL ST 	Not Posted, Both Sides Mon & Fri
LA JOLLA BL 	5050 - 5099 	OPAL ST - TOURMALINE ST 	Not Posted, Both Sides Mon & Fri
LA JOLLA HERMOSA AV 	5200 - 5399 	BEGIN - COLIMA ST 	Not Posted, Both Sides Odd Month 4th Thu
LA JOLLA MESA DR 	5200 - 5249 	MISSION BL - AGATE ST 	Not Posted, Both Sides Odd Month 4th Thu
LA JOLLA MESA DR 	5250 - 5299 	AGATE ST - ARCHER ST 	Not Posted, Both Sides Odd Month 4th Thu
LA JOLLA MESA DR 	5300 - 5349 	ARCHER ST - VAN NUYS ST 	Not Posted, Both Sides Odd Month 4th Thu
LA JUNTA AV 	3300 - 3399 	JICARILLO AV - IDLEWILD WY 	Not Posted, Both Sides Odd Month 3rd Tue
LA MANCHA DR 	1400 - 1499 	RIVIERA DR - BUENA VISTA ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
LA MANCHA DR 	1500 - 1529 	BUENA VISTA ST - BAYONNE DR 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
LA MANCHA DR 	1530 - 1569 	BAYONNE DR - PROMONTORY ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
LA MANCHA DR 	1570 - 1599 	PROMONTORY ST - INGRAHAM ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
LA MANCHA DR 	1600 - 1649 	INGRAHAM ST - YOSEMITE ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
LA MANCHA DR 	1650 - 1699 	YOSEMITE ST - JEWELL ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
LA MANCHA DR 	1700 - 1799 	JEWELL ST - CORONA ORIENTE RD 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
LA MARQUE ST 	2380 - 2499 	LORING ST - RANDALL ST 	Not Posted, Both Sides Odd Month 3rd Wed
LA PALMA ST 	1300 - 1399 	FANUEL ST - GRESHAM ST 	Posted (10am - 1pm), Both Sides 1st Thur
LA PALOMA ST 	4100 - 4199 	CATALINA BL - SAVOY ST 	Not Posted, Both Sides Even Month 1st Wed
LA PALOMA ST 	4200 - 4249 	SAVOY ST - MOANA DR 	Not Posted, Both Sides Even Month 1st Wed
LA PALOMA ST 	4250 - 4299 	MOANA DR - ALEXANDRIA DR 	Not Posted, Both Sides Even Month 4th Wed
LA PALOMA ST 	4300 - 4349 	ALEXANDRIA DR - TRIESTE DR 	Not Posted, Both Sides Even Month 4th Wed
LA PLAYA AV 	1400 - 1499 	RIVIERA DR - HAINES ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
LA PLAYA AV 	1500 - 1549 	HAINES ST - PROMONTORY ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
LA PLAYA AV 	1550 - 1599 	PROMONTORY ST - INGRAHAM ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
LA PLAYA AV 	1600 - 1649 	INGRAHAM ST - YOSEMITE ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
LA PLAYA AV 	1650 - 1699 	YOSEMITE ST - JEWELL ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
LA PLAYA AV 	1700 - 1749 	JEWELL ST - SHASTA ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
LA PLAYA AV 	1750 - 1799 	SHASTA ST - KENDALL ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
LA SALLE ST 	3930 - 4029 	CHANNEL WY - END 	Not Posted, Both Sides Fri
LACKAWANNA WY 	3000 - 3099 	BEGIN - HURON AV 	Not Posted, Both Sides Even Month 4th Thu
LADERA ST 	4400 - 4450 	CORNISH DR - CORDOVA ST 	Not Posted, Both Sides Even Month 4th Wed
LADERA ST 	4500 - 4599 	CORDOVA ST - SUNSET CLIFFS BL 	Not Posted, Both Sides Even Month 4th Wed
LAMONT ST 	3800 - 3899 	CORONA ORIENTE RD - ROOSEVELT AV 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
LAMONT ST 	3900 - 3999 	ROOSEVELT AV - FORTUNA AV 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
LAMONT ST 	4000 - 4039 	FORTUNA AV - CHICO ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
LAMONT ST 	4040 - 4099 	CHICO ST - PACIFIC BEACH DR 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
LAMONT ST 	4100 - 4199 	PACIFIC BEACH DR - OLIVER AV 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
LAMONT ST 	4200 - 4249 	OLIVER AV - REED AV 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
LAMONT ST 	4250 - 4299 	REED AV - THOMAS AV 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
LAMONT ST 	4300 - 4399 	THOMAS AV - BALBOA AV 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
LAMONT ST 	4400 - 4449 	BALBOA AV - HORNBLEND ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
LAMONT ST 	4450 - 4499 	HORNBLEND ST - GARNET AV 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
LAMONT ST 	4500 - 4599 	GARNET AV - FELSPAR ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
LAMONT ST 	4600 - 4649 	FELSPAR ST - EMERALD ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
LAMONT ST 	4650 - 4699 	EMERALD ST - DIAMOND ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
LAMONT ST 	4700 - 4749 	DIAMOND ST - MISSOURI ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
LAMONT ST 	4750 - 4799 	MISSOURI ST - CHALCEDONY ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
LAMONT ST 	4800 - 4849 	CHALCEDONY ST - LAW ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
LAMONT ST 	4850 - 4899 	LAW ST - BERYL ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
LAMONT ST 	4900 - 4949 	BERYL ST - WILBUR AV 	Not Posted, Both Sides Odd Month 3rd Wed
LAMONT ST 	4950 - 4979 	WILBUR AV - MALDEN ST 	Not Posted, Both Sides Odd Month 3rd Wed
LAMONT ST 	4980 - 4999 	MALDEN ST - LORING ST 	Not Posted, Both Sides Odd Month 3rd Wed
LARGA CR 	3400 - 3499 	BEGIN - LARGA CT 	Not Posted, Both Sides Odd Month 1st Wed
LARGA CR 	3500 - 3599 	LARGA CT - KEMPER ST 	Not Posted, Both Sides Odd Month 1st Wed
LARGA CT 	3100 - 3199 	LARGA CR - END 	Not Posted, Both Sides Odd Month 1st Wed
LARKSPUR ST 	4600 - 4699 	SEASIDE ST - WEST POINT LOMA BL 	Not Posted, Both Sides 1st Wed
LAS LOMAS ST 	2150 - 2199 	UDALL ST - VOLTAIRE ST 	Not Posted, Both Sides Odd Month 1st Wed
LAURETTA ST 	5400 - 5499 	MOLLIE ST - AZUSA ST 	Not Posted, Both Sides Odd Month 1st Tue
LAURETTA ST 	5500 - 5599 	AZUSA ST - BENICIA ST 	Not Posted, Both Sides Odd Month 1st Tue
LAURETTA ST 	5600 - 5699 	BENICIA ST - COLUSA ST 	Not Posted, Both Sides Odd Month 1st Tue
LAURETTA ST 	5700 - 5799 	COLUSA ST - EUREKA ST 	Not Posted, Both Sides Odd Month 1st Tue
LAURETTA ST 	5800 - 5899 	EUREKA ST - GOSHEN ST 	Not Posted, Both Sides Odd Month 1st Tue
LAURETTA ST 	5900 - 5999 	GOSHEN ST - HUENEME ST 	Not Posted, Both Sides Odd Month 1st Tue
